date,type,value,category
12-01-2024,IP,103.251.167.20,Malware
12-01-2024,IP,108.26.134.26,Phishing
13-01-2024,URL,http://confirmation.datings-meet.workers.dev/,Suspicious
13-01-2024,URL,http://affixresolve.web.app/walletpage.html,Phishing
13-01-2024,URL,https://fbdny.blogspot.sn/,Phishing
13-01-2024,IP,192.42.116.196,Phishing
13-01-2024,IP,71.205.208.72,Phishing
14-01-2024,IP,178.20.55.182,Malware
14-01-2024,Domain,chronoflux.healingandtravel.com,Malware
14-01-2024,Domain,www.salewaoutletpiaseczno.com,Malware
14-01-2024,Domain,www.livetechnews1.com,Suspicious
15-01-2024,Domain,www.janaushadhistore.com,Phishing
15-01-2024,IP,185.220.101.32,Phishing
15-01-2024,URL,https://mesasmabicollege.edu.in/public/bdo/,Phishing
15-01-2024,URL,http://webmailservice08.wixsite.com/my-site,Phishing
15-01-2024,URL,http://7sah.numexi.com,Suspicious
15-01-2024,URL,http://service.cembra.ch.014h.jewishbooks.com,Phishing
15-01-2024,URL,http://service.cembra.ch.4kx6.albatraglass.com,Phishing
15-01-2024,URL,195.187.6.35 hitaxfirm.com,Phishing
15-01-2024,URL,195.187.6.33 acessonegado.org,Phishing
15-01-2024,URL,195.187.6.35 testservernet.com,Suspicious
15-01-2024,URL,195.187.6.35 romantichookups.com,Malware
15-01-2024,URL,195.187.6.34 servdigitalesexteriorgrupobancolombia.com,Malware
16-01-2024,URL,195.187.6.34 discgolfbox.net,Phishing
16-01-2024,IP,195.187.6.35 rawbotz.com,Phishing
16-01-2024,IP,159.203.4.109,Suspicious
16-01-2024,IP,159.203.48.160,Malware
16-01-2024,IP,159.203.59.128,Phishing
16-01-2024,Domain,159.65.146.201,Phishing
16-01-2024,Domain,132.145.36.176,Phishing
16-01-2024,Domain,134.209.150.213,Phishing
16-01-2024,IP,103.250.52.30,Suspicious
17-01-2024,IP,103.70.226.173,Phishing
17-01-2024,IP,103.71.168.43,Phishing
17-01-2024,IP,104.248.135.188,Suspicious
17-01-2024,IP,104.248.146.112,Malware
17-01-2024,IP,104.248.146.7,Phishing
18-01-2024,IP,104.248.75.171,Phishing
18-01-2024,URL,http://web-facebook.com/email,Phishing
18-01-2024,URL,http://www.nexttech.in/img/glyph/cn/25GB/index2.php?email=,Malware
18-01-2024,URL,http://www.ebay-vip.shop/,Malware
18-01-2024,URL,http://onedrive.tefuirzt.workers.dev/,Malware
01-02-2024,URL,https://safra.com.ng/me/mz.php?user=108589&ref=108589,Phishing
01-02-2024,URL,https://cloudflare-pages-bpt.pages.dev/,Phishing
01-02-2024,URL,http://www.corporativosirn.com/app/,Malware
04-02-2024,IP,104.41.137.231,Phishing
04-02-2024,IP,104.41.63.88,Phishing
04-02-2024,IP,106.14.119.113,Phishing
06-02-2024,IP,108.167.181.108,Phishing
06-02-2024,URL,https://t.co/f8zQkUAasK,Phishing
